timestamp,phase,sys_power_w,gpu0_bmc_temp_c,gpu1_bmc_temp_c,gpu2_bmc_temp_c,gpu3_bmc_temp_c,gpu4_bmc_temp_c,gpu5_bmc_temp_c,gpu6_bmc_temp_c,gpu7_bmc_temp_c
1775284697.674,init,2550,29,28,28,31,32,28,28,30
1775284699.674,warmup,2550,29,28,28,31,32,28,28,31
1775284701.674,warmup,2550,29,28,28,31,32,28,28,31
1775284703.674,warmup,2550,29,28,28,31,32,28,28,31
1775284705.675,warmup,2550,29,28,28,31,32,28,28,31
1775284707.675,warmup,2550,29,28,28,32,32,29,28,31
1775284709.675,warmup,2550,29,28,28,32,32,29,28,31
1775284711.678,warmup,2550,29,28,28,32,32,29,28,31
1775284713.678,warmup,2550,29,28,28,32,32,29,28,31
1775284715.678,warmup,2475,31,28,29,32,33,29,28,31
1775284717.678,warmup,2550,32,30,30,33,34,30,30,33
1775284719.678,warmup,2550,32,30,30,33,34,30,30,33
1775284721.678,warmup,2550,32,30,30,33,34,30,30,33
1775284723.678,warmup,7725,49,45,45,49,51,46,45,49
1775284725.678,warmup,7725,55,50,51,56,58,52,51,55
1775284727.678,warmup,7650,56,52,52,57,58,53,51,54
1775284729.679,warmup,7650,56,52,52,57,58,53,51,54
1775284731.679,warmup,7650,56,52,54,60,63,56,54,60
1775284733.679,warmup,7950,60,54,56,61,64,56,55,60
1775284735.679,warmup,7050,61,55,55,62,62,57,56,62
1775284737.679,warmup,7050,61,55,55,62,62,57,56,62
1775284739.679,warmup,7050,61,55,55,62,62,57,56,62
1775284741.679,warmup,7575,64,56,58,65,66,59,58,63
1775284743.679,warmup,7575,64,56,58,65,66,59,58,63
1775284745.679,warmup,7575,64,56,58,65,66,59,58,63
1775284747.679,warmup,7575,64,59,57,67,68,59,58,65
1775284749.679,steady,7050,68,59,60,68,69,60,60,67
1775284751.680,steady,7050,68,59,60,68,69,60,60,67
1775284753.680,steady,7050,68,59,60,68,69,60,60,67
1775284755.680,steady,7275,70,61,62,71,73,62,61,70
1775284758.007,steady,7950,71,60,61,71,73,62,61,71
1775284760.007,steady,7950,71,60,61,71,73,62,61,71
1775284762.007,steady,7950,71,60,61,71,73,62,61,71
1775284764.007,steady,7650,71,61,61,72,73,62,61,71
1775284766.007,steady,7275,72,60,62,72,74,62,61,71
1775284768.007,steady,8025,72,60,62,73,73,61,59,71
1775284770.008,steady,8025,72,60,62,73,73,61,59,71
1775284772.008,steady,8250,73,62,62,73,74,63,62,73
1775284774.008,steady,8250,72,61,61,73,74,62,61,71
1775284776.008,steady,8250,71,60,61,73,74,61,60,71
1775284778.008,steady,8250,71,60,61,73,74,61,60,71
1775284780.008,steady,8250,71,60,61,73,74,61,60,71
1775284782.008,steady,8550,74,61,62,74,76,63,62,74
1775284784.008,steady,8475,74,61,62,74,76,63,62,73
1775284786.008,steady,8475,74,61,62,74,76,63,62,73
1775284788.008,steady,8475,74,61,62,74,76,63,62,73
1775284790.008,steady,8025,72,61,62,73,76,62,61,73
1775284792.008,steady,8175,73,60,61,74,74,62,61,72
1775284794.009,steady,7425,73,60,61,73,75,64,61,72
1775284796.009,steady,7425,73,60,61,73,75,64,61,72
1775284798.009,steady,8025,73,61,62,74,76,63,61,74
1775284800.009,steady,8100,74,62,62,74,76,64,62,74
1775284802.009,steady,7875,73,61,61,74,76,63,61,73
1775284804.009,steady,7875,73,61,61,74,76,63,61,73
1775284806.009,steady,7875,73,61,61,74,76,63,61,73
1775284808.009,steady,7200,74,61,62,75,76,63,62,73
1775284810.009,steady,7200,74,61,62,75,76,63,62,73
1775284812.009,steady,7200,74,61,62,75,76,63,62,73
1775284814.009,steady,7200,74,61,62,75,76,63,62,73
1775284816.009,steady,8325,74,60,61,74,77,64,61,74
1775284818.010,steady,8325,74,60,61,74,77,64,61,74
1775284820.010,steady,8325,74,60,61,74,77,64,61,74
1775284822.010,steady,8325,74,60,61,74,77,64,61,74
1775284824.010,steady,8250,74,61,61,74,76,63,62,73
1775284826.010,steady,7275,74,61,62,75,76,63,62,73
1775284828.090,steady,8400,74,62,62,75,76,64,63,74
1775284830.090,steady,8400,74,62,62,75,76,64,63,74
1775284832.090,steady,8400,74,62,62,75,76,64,63,74
1775284834.090,steady,8250,74,61,62,75,76,64,62,74
1775284836.090,steady,8100,74,61,62,75,77,64,62,75
1775284838.090,steady,8025,74,61,62,74,77,64,62,74
1775284840.090,steady,8025,74,61,62,74,77,64,62,74
1775284842.091,steady,8175,74,62,62,74,77,64,62,75
1775284844.091,steady,8250,74,62,63,75,77,64,63,75
1775284846.091,steady,7950,74,61,62,75,77,64,62,74
1775284848.091,steady,7950,74,61,62,75,77,64,62,74
1775284850.091,steady,7950,74,61,62,75,77,64,62,74
1775284852.091,steady,8700,74,62,61,74,79,64,62,75
1775284854.091,steady,8400,74,62,62,74,76,64,61,73
1775284856.091,steady,8400,74,62,62,74,76,64,61,73
1775284858.091,steady,8400,74,62,62,74,76,64,61,73
1775284860.091,steady,8400,70,57,58,69,72,59,57,69
1775284862.091,steady,8100,72,59,61,73,75,62,61,72
1775284864.091,steady,7950,74,62,63,75,78,66,64,75
1775284866.092,steady,7950,74,62,63,75,78,66,64,75
1775284868.092,steady,7875,75,62,63,76,77,65,63,75
1775284870.092,steady,8550,74,61,62,75,77,64,62,74
1775284872.092,steady,8625,75,62,63,76,77,65,64,75
1775284874.092,steady,8625,75,62,63,76,77,65,64,75
1775284876.092,steady,8625,75,62,63,76,77,65,64,75
1775284878.092,steady,7800,74,62,62,75,77,64,63,75
1775284880.092,steady,7800,74,62,62,75,77,64,63,75
1775284882.092,steady,7800,74,62,62,75,77,64,63,75
1775284884.092,steady,7725,75,62,63,74,77,64,63,75
1775284886.092,steady,8625,73,61,62,74,77,63,62,73
1775284888.092,steady,8625,73,61,62,74,77,63,62,73
1775284890.093,steady,8625,73,61,62,74,77,63,62,73
1775284892.093,steady,8325,75,62,63,76,78,64,63,74
1775284894.093,steady,8700,74,62,63,75,77,65,63,74
1775284896.093,steady,7725,75,62,63,76,78,65,63,75
1775284898.093,steady,7725,75,62,63,76,78,65,63,75
1775284900.093,steady,8250,75,62,63,75,78,65,63,75
1775284902.093,steady,8400,75,62,64,75,77,65,63,76
1775284904.093,steady,7575,74,62,63,75,77,65,63,75
1775284906.093,steady,7575,74,62,63,75,77,65,63,75
1775284908.093,steady,7575,74,62,63,75,77,65,63,75
1775284910.093,steady,7350,75,62,63,76,78,65,63,75
1775284912.093,steady,8325,75,63,64,75,78,65,63,75
1775284917.272,steady,8475,74,61,63,74,77,64,63,75
1775284919.272,steady,8625,74,61,63,74,77,64,63,75
1775284921.272,steady,7650,75,63,64,75,78,65,64,76
1775284923.272,steady,7650,75,63,64,75,78,65,64,76
1775284925.272,steady,7650,75,63,64,75,78,65,64,76
1775284927.272,steady,8550,75,62,63,75,77,65,63,74
1775284929.272,steady,7800,75,61,63,75,78,64,63,76
1775284931.272,steady,7800,75,61,63,75,78,64,63,76
1775284933.272,steady,7800,75,61,63,75,78,64,63,76
1775284935.272,steady,7950,75,62,62,75,77,65,63,76
1775284937.273,steady,7950,75,62,62,75,78,65,62,75
1775284939.273,steady,8475,75,62,62,75,78,65,62,75
1775284941.273,steady,8475,75,62,62,75,78,65,62,75
1775284943.273,steady,8175,75,62,62,75,78,64,62,75
1775284945.273,steady,8700,74,61,63,75,78,64,63,74
1775284947.273,steady,8700,74,61,63,75,78,64,63,74
1775284949.273,steady,8700,74,61,63,75,78,64,63,74
1775284951.273,steady,8700,74,61,63,75,78,64,63,74
1775284953.273,steady,7875,74,61,62,74,77,65,62,74
1775284955.273,steady,7875,74,61,62,74,77,65,62,74
1775284957.273,steady,7875,74,61,62,74,77,65,62,74
1775284959.273,steady,8475,73,59,60,73,76,62,61,73
1775284961.273,steady,8250,74,61,61,74,76,63,61,74
1775284963.274,steady,8250,74,61,61,74,76,63,61,74
1775284965.274,steady,8250,74,61,61,74,76,63,61,74
1775284967.274,steady,7950,74,60,60,74,77,63,61,73
1775284969.274,steady,8475,75,61,62,76,76,63,62,75
1775284971.274,steady,8400,74,60,61,75,77,63,62,74
1775284973.274,steady,8400,74,60,61,75,77,63,62,74
1775284975.274,steady,8400,74,60,61,75,77,63,62,74
1775284977.274,steady,7875,74,60,61,74,77,63,61,75
1775284979.274,steady,8325,74,60,61,75,76,63,61,74
1775284981.274,steady,8325,74,60,61,75,76,63,61,74
1775284983.274,steady,8325,74,60,61,75,76,63,61,74
1775284985.274,steady,8400,74,61,60,74,76,62,60,73
1775284987.274,steady,8400,74,60,61,75,77,63,61,74
1775284989.274,steady,8400,74,60,61,75,77,63,61,74
1775284991.275,steady,8400,74,60,61,75,77,63,61,74
1775284993.275,steady,8475,70,56,57,71,73,59,57,72
1775284995.275,steady,8325,73,59,60,74,76,62,60,75
1775284997.275,steady,8325,73,59,60,74,76,62,60,75
1775284999.275,steady,8325,73,59,60,74,76,62,60,75
1775285001.275,steady,7425,74,60,61,74,76,63,60,74
1775285003.275,steady,8325,74,59,59,74,76,61,60,74
1775285005.275,steady,7500,74,60,61,75,76,63,60,74
1775285007.275,steady,7500,74,60,61,75,76,63,60,74
1775285009.275,steady,7500,74,60,61,75,76,63,60,74
1775285011.275,steady,8250,74,59,61,75,76,63,60,74
