timestamp,phase,sys_power_w,gpu0_bmc_temp_c,gpu1_bmc_temp_c,gpu2_bmc_temp_c,gpu3_bmc_temp_c,gpu4_bmc_temp_c,gpu5_bmc_temp_c,gpu6_bmc_temp_c,gpu7_bmc_temp_c
1775286059.094,init,2100,29,27,27,30,30,27,27,30
1775286061.095,warmup,2550,29,29,28,31,31,28,29,31
1775286063.095,warmup,2550,29,29,28,31,31,28,29,31
1775286065.095,warmup,2550,29,29,28,31,31,28,29,31
1775286067.095,warmup,2550,29,29,28,31,31,28,29,31
1775286069.095,warmup,2550,29,29,28,31,32,28,29,31
1775286071.240,warmup,2550,29,29,29,31,32,28,29,31
1775286073.240,warmup,2625,29,29,29,31,32,28,29,31
1775286075.240,warmup,2625,29,29,29,31,32,28,29,31
1775286077.240,warmup,2625,29,29,29,31,32,28,29,31
1775286079.240,warmup,2550,30,29,29,31,32,28,29,31
1775286081.240,warmup,2550,30,29,29,31,32,28,29,31
1775286083.241,warmup,2550,30,29,29,32,32,28,29,31
1775286085.241,warmup,2550,30,29,29,32,32,28,29,31
1775286087.241,warmup,2550,30,29,29,32,32,28,29,31
1775286089.241,warmup,2550,30,29,29,32,32,28,29,31
1775286091.241,warmup,6075,43,43,42,46,47,43,42,46
1775286093.310,warmup,6075,43,43,42,46,47,43,42,46
1775286095.361,warmup,6150,45,44,43,47,48,44,43,47
1775286097.361,warmup,6150,45,44,43,47,48,44,43,47
1775286099.361,warmup,6150,45,44,43,47,48,44,43,47
1775286101.362,warmup,6225,48,46,46,51,51,47,46,50
1775286103.362,warmup,6225,48,47,46,51,51,46,45,50
1775286105.362,warmup,6225,48,47,46,51,51,46,45,50
1775286107.362,warmup,6225,48,47,46,51,51,46,45,50
1775286109.362,warmup,6225,48,47,46,51,51,46,45,50
1775286111.362,warmup,6225,48,47,46,51,51,46,45,50
1775286113.362,steady,6225,52,49,48,55,55,49,49,54
1775286115.362,steady,6225,52,49,48,55,55,49,49,54
1775286117.362,steady,6225,52,49,48,55,55,49,49,54
1775286119.362,steady,6075,53,50,49,56,56,50,49,56
1775286121.362,steady,6075,53,50,49,56,56,50,49,56
1775286123.363,steady,6075,53,50,49,56,56,50,49,56
1775286125.363,steady,6300,54,50,48,56,56,48,48,54
1775286127.363,steady,6000,54,50,49,57,57,50,50,57
1775286129.363,steady,6000,54,50,49,57,57,50,50,57
1775286131.363,steady,6000,54,50,49,57,57,50,50,57
1775286133.363,steady,6000,54,50,49,57,57,50,50,57
1775286135.363,steady,6000,54,50,49,57,57,50,50,57
1775286137.363,steady,6075,57,52,51,60,60,52,51,59
1775286139.363,steady,6150,55,51,50,59,59,51,50,59
1775286141.363,steady,6150,55,51,50,59,59,51,50,59
1775286143.364,steady,6225,57,52,51,61,61,53,52,60
1775286145.364,steady,6225,57,52,51,61,61,53,52,60
1775286147.364,steady,6225,57,52,51,61,61,53,52,60
1775286149.364,steady,6375,56,54,53,63,63,54,53,62
1775286151.364,steady,6375,56,54,53,63,63,54,53,62
1775286153.364,steady,6375,56,54,53,63,63,54,53,62
1775286155.364,steady,6375,56,54,53,63,63,54,53,62
1775286157.364,steady,6000,58,54,53,62,62,54,53,62
1775286159.364,steady,6000,58,54,53,62,62,54,53,62
1775286161.364,steady,6225,59,53,52,63,63,53,52,62
1775286163.364,steady,6225,59,53,52,63,63,53,52,62
1775286165.365,steady,6225,59,53,52,63,63,53,52,62
1775286167.365,steady,6300,61,54,53,64,63,53,53,63
1775286169.365,steady,6225,61,55,53,65,65,55,54,64
