timestamp,phase,sys_power_w,gpu0_bmc_temp_c,gpu1_bmc_temp_c,gpu2_bmc_temp_c,gpu3_bmc_temp_c,gpu4_bmc_temp_c,gpu5_bmc_temp_c,gpu6_bmc_temp_c,gpu7_bmc_temp_c
1775335041.971,init,2700,33,32,32,35,36,33,32,35
1775335043.971,warmup,2700,33,32,32,35,36,33,32,35
1775335045.971,warmup,2700,33,32,32,35,36,33,32,35
1775335047.971,warmup,2700,33,32,32,35,36,33,32,35
1775335049.971,warmup,2700,33,32,33,35,37,33,33,36
1775335051.971,warmup,2700,33,32,33,35,37,33,33,36
1775335053.971,warmup,2700,33,32,33,35,37,33,33,36
1775335055.972,warmup,2700,33,32,33,35,37,33,33,36
1775335057.972,warmup,2775,35,32,33,36,37,33,33,36
1775335059.972,warmup,3450,36,34,35,37,39,35,35,38
1775335061.972,warmup,3450,36,34,35,38,39,36,35,38
1775335063.972,warmup,3450,36,34,35,38,39,36,35,38
1775335065.972,warmup,3450,36,34,35,38,39,36,35,38
1775335067.972,warmup,7725,58,53,54,59,60,56,54,59
1775335069.972,warmup,8025,58,53,54,58,61,55,54,59
1775335071.972,warmup,8025,58,53,54,58,61,55,54,59
1775335073.972,warmup,8025,58,53,54,58,61,55,54,59
1775335075.972,warmup,7650,62,56,57,63,65,59,57,63
1775335077.973,warmup,7725,62,56,57,62,65,59,57,62
1775335079.973,warmup,7725,62,56,57,62,65,59,57,62
1775335081.973,warmup,7725,62,56,57,62,65,59,57,62
1775335083.973,warmup,7800,66,58,59,66,68,60,59,65
1775335085.973,warmup,7875,66,58,59,66,69,61,60,66
1775335087.973,warmup,7800,67,58,60,66,69,61,59,67
1775335089.973,warmup,7800,67,58,60,66,69,61,59,67
1775335091.973,warmup,7875,69,60,60,68,71,62,61,69
1775335093.973,warmup,7800,70,60,62,70,72,62,62,70
1775335095.973,steady,7950,69,60,61,69,72,62,61,69
1775335097.973,steady,7950,69,60,61,69,72,62,61,69
1775335099.973,steady,7950,69,60,61,69,72,62,61,69
1775335101.974,steady,8100,71,60,61,71,73,63,61,71
1775335103.974,steady,7950,71,60,62,72,75,64,62,72
1775335105.974,steady,7950,71,60,62,72,75,64,62,72
1775335107.974,steady,7950,71,60,62,72,75,64,62,72
1775335109.974,steady,8100,72,61,62,73,76,64,63,73
1775335111.974,steady,8100,72,61,62,73,76,64,63,73
1775335113.974,steady,8100,72,61,62,73,76,64,63,73
1775335115.974,steady,8100,72,61,62,73,76,64,63,73
1775335117.974,steady,8175,73,61,62,73,75,62,61,71
1775335119.974,steady,8100,71,59,60,71,74,61,61,71
1775335121.974,steady,8100,71,59,60,71,74,61,61,71
