timestamp,phase,gpu,gpu_model,power_w,temp_c,mem_used_mib,mem_total_mib,gpu_util_pct,mem_util_pct,sm_active,tensor_active,dram_active,fp16_active,pcie_tx_bytes_s,pcie_rx_bytes_s,nvlink_tx_bytes_s,nvlink_rx_bytes_s,throttle_reasons,energy_mj
1775333003.764,init,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000006,0.000000,809927,1415449,0,0,1,491449659
1775333003.764,init,1,NVIDIA H100 80GB HBM3,114.5,29,528,81559,0,0,0.000000,0.000000,0.000234,0.000000,73217915,44666807,0,0,0,497254337
1775333003.764,init,2,NVIDIA H100 80GB HBM3,120.4,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,733955,1436453,0,0,0,495278491
1775333003.764,init,3,NVIDIA H100 80GB HBM3,89.7,31,528,81559,1,0,0.000000,0.000000,0.000235,0.000000,72113552,43220947,0,0,0,495672197
1775333003.764,init,4,NVIDIA H100 80GB HBM3,119.7,32,528,81559,1,0,0.000000,0.000000,0.000005,0.000000,1976356,650120,0,0,0,495349723
1775333003.764,init,5,NVIDIA H100 80GB HBM3,118.3,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,733969,639587,0,0,0,497654538
1775333003.764,init,6,NVIDIA H100 80GB HBM3,111.3,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,72026419,844033,0,0,0,501091425
1775333003.764,init,7,NVIDIA H100 80GB HBM3,105.4,31,528,81559,1,0,0.000000,0.000000,0.000006,0.000000,72068981,43422820,0,0,0,502421019
1775333003.864,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000006,0.000000,786315,1111357,0,0,1,491456748
1775333003.864,warmup,1,NVIDIA H100 80GB HBM3,117.9,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,749704,1038053,0,0,0,497265902
1775333003.864,warmup,2,NVIDIA H100 80GB HBM3,120.1,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,770673,676287,0,0,0,495290267
1775333003.864,warmup,3,NVIDIA H100 80GB HBM3,94.9,31,528,81559,1,0,0.000000,0.000000,0.000006,0.000000,739171,671021,0,0,0,495684128
1775333003.864,warmup,4,NVIDIA H100 80GB HBM3,120.2,32,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,707792,686772,0,0,0,495361444
1775333003.864,warmup,5,NVIDIA H100 80GB HBM3,118.2,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,697255,870279,0,0,0,497666169
1775333003.864,warmup,6,NVIDIA H100 80GB HBM3,115.9,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,712972,660549,0,0,0,501103305
1775333003.864,warmup,7,NVIDIA H100 80GB HBM3,105.4,31,528,81559,1,0,0.000000,0.000000,0.000235,0.000000,2007894,1740524,0,0,0,502432855
1775333003.964,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,791552,728652,0,0,1,491463814
1775333003.964,warmup,1,NVIDIA H100 80GB HBM3,117.7,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,1106185,1043274,0,0,0,497277469
1775333003.964,warmup,2,NVIDIA H100 80GB HBM3,119.6,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,728703,707761,0,0,0,495302061
1775333003.964,warmup,3,NVIDIA H100 80GB HBM3,99.1,31,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,733924,676259,0,0,0,495696063
1775333003.964,warmup,4,NVIDIA H100 80GB HBM3,119.8,32,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,749682,1200547,0,0,0,495373168
1775333003.964,warmup,5,NVIDIA H100 80GB HBM3,117.7,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,938433,655278,0,0,0,497677811
1775333003.964,warmup,6,NVIDIA H100 80GB HBM3,120.5,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,723458,660551,0,0,0,501115207
1775333003.964,warmup,7,NVIDIA H100 80GB HBM3,109.2,31,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,712991,660565,0,0,0,502444672
1775333004.064,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,791506,728647,0,0,1,491470891
1775333004.064,warmup,1,NVIDIA H100 80GB HBM3,117.3,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,739196,681528,0,0,0,497289042
1775333004.064,warmup,2,NVIDIA H100 80GB HBM3,119.2,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,943653,671036,0,0,0,495313836
1775333004.064,warmup,3,NVIDIA H100 80GB HBM3,104.4,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,718212,660545,0,0,0,495707995
1775333004.064,warmup,4,NVIDIA H100 80GB HBM3,119.4,32,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,1258215,660564,0,0,0,495384903
1775333004.064,warmup,5,NVIDIA H100 80GB HBM3,117.3,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,712942,681571,0,0,0,497689442
1775333004.064,warmup,6,NVIDIA H100 80GB HBM3,121.0,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,718218,655305,0,0,0,501127095
1775333004.064,warmup,7,NVIDIA H100 80GB HBM3,114.5,31,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,728714,665804,0,0,0,502456510
1775333004.164,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,875422,728605,0,0,1,491477942
1775333004.164,warmup,1,NVIDIA H100 80GB HBM3,116.9,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,739207,681538,0,0,0,497300619
1775333004.164,warmup,2,NVIDIA H100 80GB HBM3,118.7,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,1006568,880742,0,0,0,495325617
1775333004.164,warmup,3,NVIDIA H100 80GB HBM3,108.5,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,739173,676264,0,0,0,495719925
1775333004.164,warmup,4,NVIDIA H100 80GB HBM3,119.0,32,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,723475,665808,0,0,0,495396671
1775333004.164,warmup,5,NVIDIA H100 80GB HBM3,116.9,29,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,744485,655313,0,0,0,497701069
1775333004.164,warmup,6,NVIDIA H100 80GB HBM3,120.6,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,723457,644274,0,0,0,501138973
1775333004.164,warmup,7,NVIDIA H100 80GB HBM3,119.1,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,1163851,1100941,0,0,0,502468338
1775333004.264,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,964518,807275,0,0,1,491485036
1775333004.264,warmup,1,NVIDIA H100 80GB HBM3,116.5,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,744443,686775,0,0,0,497312177
1775333004.264,warmup,2,NVIDIA H100 80GB HBM3,118.4,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,739192,948900,0,0,0,495337414
1775333004.264,warmup,3,NVIDIA H100 80GB HBM3,113.2,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,723447,655297,0,0,0,495731848
1775333004.264,warmup,4,NVIDIA H100 80GB HBM3,118.6,32,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,723477,639590,0,0,0,495408474
1775333004.264,warmup,5,NVIDIA H100 80GB HBM3,116.6,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,712980,660573,0,0,0,497712694
1775333004.264,warmup,6,NVIDIA H100 80GB HBM3,120.2,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,707130,907013,0,0,0,501150858
1775333004.264,warmup,7,NVIDIA H100 80GB HBM3,120.1,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,718227,655317,0,0,0,502480171
1775333004.364,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,776144,901615,0,0,1,491492091
1775333004.364,warmup,1,NVIDIA H100 80GB HBM3,116.1,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,739199,671046,0,0,0,497323723
1775333004.364,warmup,2,NVIDIA H100 80GB HBM3,117.9,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,739179,676282,0,0,0,495349179
1775333004.364,warmup,3,NVIDIA H100 80GB HBM3,117.9,32,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,749659,686750,0,0,0,495743759
1775333004.364,warmup,4,NVIDIA H100 80GB HBM3,118.1,32,528,81559,0,0,0.000000,0.000000,0.000006,0.000000,702500,707750,0,0,0,495420365
1775333004.364,warmup,5,NVIDIA H100 80GB HBM3,116.5,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,723485,660559,0,0,0,497724326
1775333004.364,warmup,6,NVIDIA H100 80GB HBM3,119.7,29,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,964685,665790,0,0,0,501162734
1775333004.364,warmup,7,NVIDIA H100 80GB HBM3,119.6,31,528,81559,0,0,0.000000,0.000000,0.000005,0.000000,718232,660564,0,0,0,502492005
1775333004.464,warmup,0,NVIDIA H100 80GB HBM3,70.8,30,3,81559,0,0,0.000000,0.000000,0.000005,0.000000,767635,719226,0,0,1,491499160
